Local Government Area,Average_Criminial_Incidents_Rate,Average_Victimisation_Rate
 Yarriambiack,4914.15,3107.45
 Yarra Ranges,3901.3,2140.5
 Yarra,11571.0,7086.95
 Wyndham,5108.35,2994.75
 Wodonga,6300.9,3521.65
 Whittlesea,5679.3,3571.0
 Whitehorse,3638.6,2309.8
 West Wimmera,3016.65,1685.95
 Wellington,7236.25,4124.45
 Warrnambool,6971.2,3583.65
 Wangaratta,6156.85,2898.05
 Towong,2931.55,1750.6
 Swan Hill,8005.4,3940.65
 Surf Coast,3673.25,2486.0
 Strathbogie,4124.35,2271.15
 Stonnington,7685.45,4828.65
 Southern Grampians,5801.3,2972.8
 South Gippsland,3483.05,2038.9
 Queenscliffe,4801.55,3434.35
 Pyrenees,5286.75,3599.5
 Port Phillip,9309.55,6267.4
 Northern Grampians,7585.6,3950.5
 Nillumbik,3315.15,2090.15
 Murrindindi,3858.05,2293.9
 Moyne,2729.8,1772.0
 Mount Alexander,4473.45,2310.05
 Mornington Peninsula,5382.4,3052.0
 Moorabool,5489.75,3122.85
 Moonee Valley,5995.5,3905.85
 Monash,4351.15,2850.95
 Moira,4329.7,2293.25
 Mitchell,7213.55,4061.0
 Mildura,9004.25,5227.2
 Merri-bek,6610.3,4566.75
 Melton,6123.35,3699.0
 Melbourne,17805.25,8643.4
 Maroondah,5683.55,2881.2
 Maribyrnong,8208.8,5028.7
 Mansfield,5039.3,2529.7
 Manningham,3024.85,2003.4
 Macedon Ranges,3399.6,1818.5
 Loddon,4640.3,2948.25
 Latrobe,13169.55,7240.8
 Knox,5279.7,3032.9
 Kingston,5248.25,2886.1
 Indigo,2252.35,1216.9
 Hume,7704.45,4524.6
 Horsham,9514.75,5101.1
 Hobsons Bay,5729.75,3371.6
 Hindmarsh,3966.25,2478.8
 Hepburn,4272.4,2852.05
 Greater Shepparton,9137.25,4671.45
 Greater Geelong,7194.75,4202.8
 Greater Dandenong,9132.25,4913.55
 Greater Bendigo,6471.45,3298.8
 Golden Plains,2667.2,1836.55
 Glenelg,6634.95,3837.0
 Glen Eira,3701.1,2550.7
 Gannawarra,4572.05,2257.9
 Frankston,8398.95,4371.5
 East Gippsland,6786.7,3851.2
 Darebin,8049.25,5040.9
 Corangamite,4193.25,2404.25
 Colac-Otway,6566.7,3811.3
 Central Goldfields,7075.25,3689.65
 Casey,5309.4,3266.85
 Cardinia,5080.75,2990.5
 Campaspe,6973.25,3606.0
 Buloke,2541.6,1662.65
 Brimbank,7223.9,4395.15
 Boroondara,3695.95,2601.9
 Benalla,6745.2,3938.1
 Bayside,3849.9,2716.15
 Baw Baw,5533.65,2827.65
 Bass Coast,5880.35,3601.0
 Banyule,5727.8,3485.75
 Ballarat,8729.45,5523.8
 Ararat,7595.0,3963.9
 Alpine,2407.35,1255.0
